loss,hyperparameters,iteration,runtime,score
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_impurity_decrease': 0.06939543224847544, 'min_samples_leaf': 6, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0038681492159813205, 'random_state': 0, 'splitter': 'random'}",1,0.08696494377170934,0.5
0.416767355610299,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_impurity_decrease': 0.025073747385587576, 'min_samples_leaf': 1, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.024616832193844414, 'random_state': 0, 'splitter': 'random'}",2,0.11911087748730773,0.583232644389701
0.5,"{'class_weight': None, 'criterion': 'gini', 'max_features': None, 'min_impurity_decrease': 0.010245224244024298, 'min_samples_leaf': 5, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.013887447744643545, 'random_state': 0, 'splitter': 'best'}",3,0.09034414521350193,0.5
0.5,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_impurity_decrease': 0.08822349999041453, 'min_samples_leaf': 7, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0416899302552367, 'random_state': 0, 'splitter': 'best'}",4,0.07745325971339079,0.5
0.5,"{'class_weight': None, 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.008670016704018435, 'min_samples_leaf': 3, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0088773171440316, 'random_state': 0, 'splitter': 'best'}",5,0.08942297148713452,0.5
0.5,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'auto', 'min_impurity_decrease': 0.010394782879174325, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.02045967744991331, 'random_state': 0, 'splitter': 'random'}",6,0.08238936848613054,0.5
0.46916789769438105,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_impurity_decrease': 0.00638828113853952, 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.04002516373722135, 'random_state': 0, 'splitter': 'best'}",7,0.16687111119834075,0.530832102305619
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_impurity_decrease': 0.03685402801149259, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.027692709699809942, 'random_state': 0, 'splitter': 'random'}",8,0.08486616954289905,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_impurity_decrease': 0.039146368398794, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.027457250668084573, 'random_state': 0, 'splitter': 'random'}",9,0.09145518568754585,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_impurity_decrease': 0.05892316267248959, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.04386879294380727, 'random_state': 0, 'splitter': 'random'}",10,0.18014045019325886,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_impurity_decrease': 0.027854974677154778, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.002555735620604166, 'random_state': 0, 'splitter': 'random'}",11,0.17003015254619847,0.5
0.5,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_impurity_decrease': 0.08655784711350477, 'min_samples_leaf': 9, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.018219429370438533, 'random_state': 0, 'splitter': 'random'}",12,0.09794350845589705,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_impurity_decrease': 0.08816874645404929, 'min_samples_leaf': 2, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.014760623760738601, 'random_state': 0, 'splitter': 'best'}",13,0.13775536544228917,0.5
0.5,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_impurity_decrease': 0.03444770711497402, 'min_samples_leaf': 4, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0034894931303359415, 'random_state': 0, 'splitter': 'random'}",14,0.11000154026732378,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_impurity_decrease': 0.025782637696247637, 'min_samples_leaf': 6, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.04028795340232044, 'random_state': 0, 'splitter': 'best'}",15,0.1331230434658317,0.5
0.5,"{'class_weight': None, 'criterion': 'gini', 'max_features': None, 'min_impurity_decrease': 0.06473338970982898, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.011907496203485158, 'random_state': 0, 'splitter': 'best'}",16,0.09966425585674932,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_impurity_decrease': 0.08427563592398993, 'min_samples_leaf': 8, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.044263905866884314, 'random_state': 0, 'splitter': 'best'}",17,0.09344430653623714,0.5
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_impurity_decrease': 0.022789744581709792, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.04581906735978137, 'random_state': 0, 'splitter': 'random'}",18,0.08608345006227225,0.5
0.48561547946937966,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_impurity_decrease': 0.014571147683782149, 'min_samples_leaf': 1, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.044548767459292024, 'random_state': 0, 'splitter': 'best'}",19,0.11440772881396422,0.5143845205306203
0.5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_impurity_decrease': 0.04864326331302067, 'min_samples_leaf': 5, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.03424666033606311, 'random_state': 0, 'splitter': 'random'}",20,0.1015821233417058,0.5
0.4239987580247835,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_impurity_decrease': 0.000717297278943433, 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.03448898037192791, 'random_state': 0, 'splitter': 'best'}",21,0.15656028013238643,0.5760012419752165
0.4152356886374394,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_impurity_decrease': 0.002741588707909973, 'min_samples_leaf': 1, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.03329265024646421, 'random_state': 0, 'splitter': 'best'}",22,0.16080860194500346,0.5847643113625606
0.4048795461356889,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_impurity_decrease': 0.0006589432474129985, 'min_samples_leaf': 1, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0329965949162331, 'random_state': 0, 'splitter': 'best'}",23,0.18295133139256814,0.5951204538643111
0.5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_impurity_decrease': 0.09918543842970338, 'min_samples_leaf': 8, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.033991505250313137, 'random_state': 0, 'splitter': 'best'}",24,0.10021038942309968,0.5
0.41713601246239007,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_impurity_decrease': 0.00316842200758997, 'min_samples_leaf': 1, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.03051754964529058, 'random_state': 0, 'splitter': 'best'}",25,0.17124060639599215,0.5828639875376099
