loss,hyperparameters,iteration,runtime,score
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 88, 'n_jobs': 4, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}",1,4.779262199151872,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 86, 'n_jobs': 4, 'n_neighbors': 71, 'p': 1, 'weights': 'uniform'}",2,0.5281320653363482,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 63, 'n_jobs': 4, 'n_neighbors': 78, 'p': 1, 'weights': 'uniform'}",3,0.6515842780092926,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 77, 'n_jobs': 4, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}",4,0.5453595926867596,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 35, 'n_jobs': 4, 'n_neighbors': 27, 'p': 1, 'weights': 'uniform'}",5,0.6353602710870483,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 40, 'n_jobs': 4, 'n_neighbors': 81, 'p': 1, 'weights': 'uniform'}",6,1.1418744071997473,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 18, 'n_jobs': 4, 'n_neighbors': 97, 'p': 1, 'weights': 'uniform'}",7,0.8671303966423025,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 93, 'n_jobs': 4, 'n_neighbors': 58, 'p': 1, 'weights': 'distance'}",8,0.5080083234168846,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 69, 'n_jobs': 4, 'n_neighbors': 42, 'p': 1, 'weights': 'distance'}",9,0.544489192315389,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 27, 'n_jobs': 4, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}",10,0.529556705944195,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 97, 'n_jobs': 4, 'n_neighbors': 64, 'p': 1, 'weights': 'uniform'}",11,0.8930610743727243,0.5
0.5004524886877828,"{'algorithm': 'kd_tree', 'leaf_size': 72, 'n_jobs': 4, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",12,0.5260989978022383,0.4995475113122172
0.5,"{'algorithm': 'brute', 'leaf_size': 23, 'n_jobs': 4, 'n_neighbors': 59, 'p': 1, 'weights': 'distance'}",13,0.7463951984619506,0.5
0.5008989172592113,"{'algorithm': 'ball_tree', 'leaf_size': 61, 'n_jobs': 4, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",14,0.4174747381225554,0.4991010827407886
0.5,"{'algorithm': 'brute', 'leaf_size': 68, 'n_jobs': 4, 'n_neighbors': 16, 'p': 1, 'weights': 'distance'}",15,0.7256224962655988,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 12, 'n_jobs': 4, 'n_neighbors': 89, 'p': 1, 'weights': 'uniform'}",16,0.8213661104495404,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 54, 'n_jobs': 4, 'n_neighbors': 30, 'p': 1, 'weights': 'distance'}",17,0.7084572622750969,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 77, 'n_jobs': 4, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}",18,0.7013140058939769,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 81, 'n_jobs': 4, 'n_neighbors': 74, 'p': 1, 'weights': 'distance'}",19,0.42045671272819973,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': 4, 'n_neighbors': 34, 'p': 1, 'weights': 'distance'}",20,0.35750159253401037,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 51, 'n_jobs': 4, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}",21,0.37216826545845905,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 88, 'n_jobs': 4, 'n_neighbors': 35, 'p': 1, 'weights': 'distance'}",22,0.30635703737900144,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 43, 'n_jobs': 4, 'n_neighbors': 65, 'p': 1, 'weights': 'distance'}",23,0.27711243823464216,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 51, 'n_jobs': 4, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}",24,0.3511638831632595,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 36, 'n_jobs': 4, 'n_neighbors': 69, 'p': 1, 'weights': 'distance'}",25,0.35375204426753726,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 34, 'n_jobs': 4, 'n_neighbors': 65, 'p': 1, 'weights': 'distance'}",26,0.3391677180448909,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 41, 'n_jobs': 4, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}",27,0.40323729204790837,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 49, 'n_jobs': 4, 'n_neighbors': 69, 'p': 1, 'weights': 'distance'}",28,0.4291854631191292,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 34, 'n_jobs': 4, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}",29,0.35791033937507777,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 22, 'n_jobs': 4, 'n_neighbors': 96, 'p': 1, 'weights': 'distance'}",30,0.4073094004520108,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 49, 'n_jobs': 4, 'n_neighbors': 69, 'p': 1, 'weights': 'uniform'}",31,0.42424252767681025,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_jobs': 4, 'n_neighbors': 91, 'p': 1, 'weights': 'distance'}",32,0.3017029553932602,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 22, 'n_jobs': 4, 'n_neighbors': 96, 'p': 1, 'weights': 'uniform'}",33,0.8587826597472663,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 49, 'n_jobs': 4, 'n_neighbors': 88, 'p': 1, 'weights': 'uniform'}",34,0.4405143212861091,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'n_jobs': 4, 'n_neighbors': 91, 'p': 1, 'weights': 'distance'}",35,0.6202148779583467,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': 4, 'n_neighbors': 53, 'p': 1, 'weights': 'distance'}",36,0.5795983272952867,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 56, 'n_jobs': 4, 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",37,0.7338191930961884,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",38,0.4801162581829388,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 89, 'n_jobs': 4, 'n_neighbors': 26, 'p': 1, 'weights': 'distance'}",39,0.48111849861055944,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",40,0.4231387405391942,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",41,0.3485774287263723,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 33, 'p': 1, 'weights': 'uniform'}",42,0.4998495999358319,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 92, 'n_jobs': 4, 'n_neighbors': 85, 'p': 1, 'weights': 'distance'}",43,0.32572045897406454,0.5
